Price,Built_Up,Furnishing,Tenure,carpark,classification
1400000,2500,Semi Furnished,Freehold,2,1
378000,1000,Fully Furnished,Freehold,1,1
900000,1280,Fully Furnished,Freehold,1,1
505000,1032,Semi Furnished,Freehold,1,1
370000,750,Unfurnished,Leasehold,2,1
1080000,1367,Semi Furnished,Freehold,1,1
597900,1589,Semi Furnished,Freehold,1,1
600000,1820,Unfurnished,Freehold,2,1
1100000,875,Semi Furnished,Freehold,1,1
335000,1300,Semi Furnished,Freehold,2,1
580000,2300,Unfurnished,Freehold,2,1
440000,880,Semi Furnished,Freehold,2,1
640000,1350,Unfurnished,Freehold,2,1
725000,2222,Semi Furnished,Freehold,2,1
368000,1000,Semi Furnished,Freehold,2,1
449000,1076,Semi Furnished,Freehold,1,1
750000,2800,Unfurnished,Freehold,2,1
380000,1240,Semi Furnished,Freehold,1,1
1100000,2000,Semi Furnished,Freehold,2,1
489888,3989,Fully Furnished,Freehold,2,1
276000,700,Unfurnished,Freehold,1,1
550000,1400,Unfurnished,Freehold,2,1
468000,1366,Semi Furnished,Freehold,1,1
568000,2000,Semi Furnished,Leasehold,2,1
360000,896,Semi Furnished,Freehold,1,1
560000,1069,Fully Furnished,Freehold,1,1
1098000,2907,Semi Furnished,Freehold,2,1
1100000,1800,Unfurnished,Freehold,2,1
545000,1345,Semi Furnished,Freehold,1,1
574000,687,Semi Furnished,Freehold,1,1
220000,778,Unfurnished,Freehold,1,1
1495000,2098,Fully Furnished,Freehold,1,1
288000,700,Unfurnished,Freehold,1,1
880000,2700,Fully Furnished,Freehold,2,1
185000,652,Semi Furnished,Freehold,1,1
580000,1800,Unfurnished,Freehold,2,1
637800,1029,Semi Furnished,Freehold,1,1
485000,1400,Semi Furnished,Freehold,2,1
880000,2640,Semi Furnished,Freehold,2,1
388000,1300,Unfurnished,Freehold,2,0
280000,808,Semi Furnished,Freehold,1,1
865000,2540,Unfurnished,Freehold,2,1
275000,780,Semi Furnished,Freehold,1,1
350000,880,Unfurnished,Freehold,2,1
836000,2200,Semi Furnished,Freehold,2,1
185000,850,Unfurnished,Freehold,1,1
265000,1017,Semi Furnished,Freehold,1,1
270000,926,Unfurnished,Freehold,1,1
480000,1044,Semi Furnished,Freehold,1,1
280000,775,Semi Furnished,Freehold,1,1
300000,1150,Unfurnished,Freehold,1,1
775000,1650,Semi Furnished,Freehold,2,1
170000,735,Unfurnished,Leasehold,1,1
1000000,3000,Unfurnished,Freehold,2,1
330000,954,Semi Furnished,Freehold,1,1
450000,18451,Unfurnished,Freehold,2,1
185000,500,Unfurnished,Freehold,1,1
330000,1000,Unfurnished,Freehold,1,1
488000,596,Unfurnished,Freehold,1,1
1250000,2000,Semi Furnished,Leasehold,2,1
528000,1640,Unfurnished,Freehold,2,1
1700000,3360,Unfurnished,Freehold,2,1
480000,1494,Unfurnished,Freehold,2,1
1100000,932,Fully Furnished,Freehold,1,1
330000,1045,Semi Furnished,Freehold,0,1
315000,980,Semi Furnished,Freehold,1,1
780000,3278,Semi Furnished,Freehold,2,1
600000,2800,Semi Furnished,Freehold,2,1
283000,1180,Unfurnished,Freehold,2,0
980000,2933,Unfurnished,Freehold,2,1
155000,720,Unfurnished,Leasehold,1,1
280000,850,Unfurnished,Freehold,1,1
530000,1300,Unfurnished,Freehold,2,1
260000,738,Unfurnished,Freehold,1,1
487000,1964,Unfurnished,Freehold,2,1
930000,689,Fully Furnished,Freehold,1,1
1800000,1492,Semi Furnished,Freehold,1,1
460000,650,Semi Furnished,Freehold,1,1
250000,712,Semi Furnished,Freehold,1,1
620000,3600,Semi Furnished,Freehold,2,1
500000,1750,Semi Furnished,Freehold,2,1
500000,1608,Unfurnished,Freehold,2,1
450000,808,Fully Furnished,Freehold,1,1
350000,1000,Semi Furnished,Freehold,2,1
1699000,3000,Unfurnished,Freehold,2,1
489900,1256,Fully Furnished,Freehold,1,1
1050000,1230,Semi Furnished,Freehold,1,1
480000,1890,Unfurnished,Leasehold,2,1
691900,948,Semi Furnished,Freehold,1,1
650000,1496,Fully Furnished,Freehold,1,1
450000,678,Semi Furnished,Freehold,1,1
381000,928,Unfurnished,Freehold,1,1
1300000,1998,Semi Furnished,Freehold,1,1
250000,689,Unfurnished,Freehold,0,1
2000000,1968,Semi Furnished,Freehold,1,1
550000,985,Semi Furnished,Freehold,1,1
