Price,Tenure,Property_Type,Built_Up,Furnishing,Bedroom,Bathroom,Area,classification
489888,0,6,3989,0,4,4,13,0
276000,0,3,700,2,3,2,13,0
550000,0,6,1400,2,4,3,13,0
468000,0,9,1366,1,3,2,13,0
568000,1,6,2000,1,4,2,13,0
360000,0,9,896,1,3,2,13,0
560000,0,9,1069,0,3,2,10,0
1098000,0,12,2907,1,5,4,9,0
1100000,0,6,1800,2,4,3,10,0
545000,0,9,1345,1,3,2,12,0
574000,0,9,687,1,2,1,14,0
220000,0,3,778,2,3,2,13,0
1495000,0,9,2098,0,4,4,14,0
288000,0,3,700,2,3,2,12,0
880000,0,6,2700,0,4,4,13,0
185000,0,3,652,1,2,1,14,0
580000,0,6,1800,2,4,3,13,0
637800,0,9,1029,1,3,2,14,0
485000,0,6,1400,1,4,3,13,0
880000,0,6,2640,1,4,3,14,0
388000,0,6,1300,2,4,3,13,1
280000,0,9,808,1,3,2,14,0
865000,0,6,2540,2,4,3,13,0
275000,0,3,780,1,3,1,13,0
350000,0,6,880,2,4,2,13,0
836000,0,6,2200,1,4,3,13,0
185000,0,3,850,2,3,2,13,0
265000,0,3,1017,1,3,2,13,0
270000,0,9,926,2,3,2,13,0
480000,0,9,1044,1,3,2,13,0
280000,0,3,775,1,3,2,14,0
300000,0,3,1150,2,3,2,13,0
775000,0,6,1650,1,5,4,13,0
170000,1,3,735,2,3,2,13,0
1000000,0,6,3000,2,5,4,13,0
330000,0,4,954,1,3,2,11,0
450000,0,10,18451,2,4,3,13,0
185000,0,3,500,2,2,1,14,0
330000,0,3,1000,2,4,2,13,0
488000,0,3,596,2,3,2,14,0
1250000,1,6,2000,1,4,3,14,0
528000,0,6,1640,2,4,3,13,0
1700000,0,6,3360,2,5,2,10,0
480000,0,6,1494,2,4,3,13,0
1100000,0,9,932,0,2,2,14,0
315000,0,9,980,1,3,2,13,0
780000,0,6,3278,1,4,3,13,0
600000,0,12,2800,1,5,3,11,0
283000,0,6,1180,2,3,2,13,1
980000,0,10,2933,2,4,4,13,0
155000,1,3,720,2,3,2,13,0
280000,0,3,850,2,5,2,13,0
530000,0,6,1300,2,4,4,13,0
260000,0,3,738,2,3,2,13,0
487000,0,6,1964,2,4,3,11,0
930000,0,4,689,0,2,1,14,0
1800000,0,9,1492,1,4,3,14,0
460000,0,9,650,1,2,2,13,0
250000,0,4,712,1,3,2,13,0
620000,0,10,3600,1,4,3,9,0
500000,0,6,1750,1,4,3,13,0
500000,0,6,1608,2,4,3,13,0
450000,0,9,808,0,3,2,14,0
350000,0,6,1000,1,4,2,13,0
1699000,0,10,3000,2,5,4,13,0
489900,0,9,1256,0,3,3,14,0
1050000,0,9,1230,1,3,3,14,0
480000,1,6,1890,2,5,3,13,0
691900,0,9,948,1,3,2,14,0
650000,0,9,1496,0,4,3,11,0
450000,0,9,678,1,2,2,13,0
381000,0,9,928,2,3,2,14,0
1300000,0,9,1998,1,5,4,13,0
2000000,0,9,1968,1,3,3,14,0
550000,0,9,985,1,3,2,14,0
480000,1,9,1303,0,3,2,11,0
540000,0,9,1130,0,3,2,13,0
600000,0,6,1948,2,4,3,13,0
600000,0,9,1331,2,4,4,13,1
1000000,0,6,1960,1,4,3,13,0
360000,0,6,1080,2,3,2,13,0
469000,0,6,1650,1,3,2,13,0
410000,0,9,1101,1,4,2,14,0
650000,0,12,1260,2,3,2,13,0
310000,0,9,936,0,3,2,13,0
1500000,0,6,3900,1,5,4,13,0
600000,0,6,1800,2,4,4,13,0
670000,0,6,1210,1,3,2,14,0
489000,0,9,1276,0,3,3,14,0
670000,0,12,1600,2,4,2,9,0
570000,0,6,1545,1,3,3,13,0
500000,0,6,1900,1,4,3,9,0
360000,0,6,900,2,3,2,13,0
499000,0,9,1100,0,3,2,14,0
1500000,0,6,2200,1,5,3,10,0
375000,0,3,960,2,3,2,14,0
485000,0,4,832,1,2,2,14,0
310000,0,9,900,1,3,2,14,1
420000,0,9,1124,2,3,2,14,0
850000,0,6,1540,1,4,4,13,0
285000,1,2,1100,2,3,2,13,0
250000,0,3,645,1,3,2,9,0
450000,0,6,1600,2,4,4,13,0
270000,0,3,710,2,2,1,13,0
930000,1,9,1500,0,3,3,10,0
1380000,0,10,2700,1,5,3,13,0
245000,1,3,850,1,3,2,13,0
370000,0,4,1021,1,3,2,13,0
650000,0,6,1700,2,4,3,13,0
528000,0,6,1300,1,4,3,13,0
1700000,0,6,7000,0,4,3,13,0
670000,0,9,953,1,3,2,13,0
395000,0,6,1530,1,4,3,9,0
660000,0,9,800,0,3,2,10,0
1300000,0,6,2000,1,4,3,13,0
170000,0,3,550,2,2,1,10,0
620000,0,9,1300,1,3,2,13,0
493000,0,9,1161,1,3,2,13,0
299000,0,6,630,2,2,2,13,0
350000,1,3,930,2,3,2,14,0
570000,0,9,1087,0,3,2,13,0
780000,0,6,1988,2,5,3,13,1
250000,0,9,1100,0,3,2,7,0
530000,0,6,1300,0,2,2,13,0
440000,0,3,969,0,3,2,14,0
370000,1,9,865,2,3,2,14,0
680000,1,6,2400,2,4,2,13,0
590000,0,9,743,0,2,1,13,0
396000,1,5,868,1,3,2,14,0
620000,0,6,2000,1,4,3,13,0
1050000,0,9,1450,0,3,2,10,1
699000,0,9,1558,2,4,2,13,0
1080000,0,6,1650,2,4,3,13,1
630000,0,6,2116,1,4,3,13,0
1000000,0,9,1333,0,3,2,14,0
360000,0,6,1100,1,3,2,13,0
1198000,0,6,2940,1,5,4,13,0
400000,0,9,1000,2,3,2,13,0
520000,0,9,1000,1,3,2,13,0
1134000,0,9,2357,2,4,4,14,0
450000,0,6,1230,2,4,3,10,0
790000,0,9,1045,2,3,2,10,0
235000,0,3,680,1,3,2,10,0
347000,0,9,830,1,3,2,14,0
135000,0,3,750,2,3,2,9,0
800000,0,9,1345,2,4,2,10,0
765000,0,9,1102,1,3,2,14,0
1200000,0,9,2800,0,5,4,14,0
401000,0,6,1225,2,4,3,13,1
1800000,0,9,1614,0,3,3,14,0
555000,0,6,1900,2,4,3,13,0
570000,0,6,1400,2,4,3,13,0
300000,0,3,960,2,3,2,13,1
1150000,0,10,2600,1,4,4,11,0
1600000,0,9,1442,0,2,3,14,0
630000,0,6,1855,2,4,3,13,0
228000,0,3,800,2,3,1,13,0
385000,0,6,880,2,4,3,11,0
460000,0,6,770,2,3,2,13,0
175000,1,6,1540,2,3,2,8,0
440000,0,6,1463,2,4,3,13,0
1950000,0,9,2347,0,4,3,14,0
378000,0,9,956,1,3,2,14,0
1280000,0,9,1582,0,4,4,10,0
480000,0,4,1100,0,3,2,11,0
1300000,0,6,2691,2,4,3,14,0
485000,0,2,1914,1,5,4,13,0
230000,1,6,1440,2,2,1,8,0
739000,0,6,1800,1,4,4,13,0
385000,0,9,1280,1,3,2,13,0
420000,0,6,1430,1,3,2,13,0
326000,0,6,1500,2,4,2,13,0
400000,0,6,1200,2,4,2,13,0
380000,1,9,870,2,3,2,13,0
950000,0,4,1129,0,3,3,13,0
675000,0,6,1430,1,3,2,14,0
400000,0,3,830,1,3,2,13,0
1990000,0,9,2022,0,3,4,14,0
174000,0,9,680,0,3,2,13,0
220000,1,3,850,2,3,2,13,0
310000,0,6,800,2,3,2,13,0
395000,0,6,840,1,3,2,13,0
1130000,0,6,1300,0,4,3,10,1
690000,0,9,1173,1,3,2,13,0
255000,0,3,925,1,3,2,13,0
325000,0,3,786,2,3,2,13,0
1550000,0,9,1635,0,4,3,10,0
350000,1,3,930,2,3,2,14,0
72000,0,9,269,0,2,1,13,0
315000,0,9,950,1,3,2,14,0
522000,0,9,732,1,2,2,14,1
595000,0,6,1800,1,4,3,13,0
525000,0,9,1320,1,3,2,14,0
950000,0,6,1680,2,4,3,13,0
350000,0,9,732,0,2,2,13,1
500000,0,6,1387,1,4,3,13,0
370000,0,9,723,1,2,2,13,0
970000,0,6,2560,1,5,3,14,0
480000,1,6,1200,2,3,2,14,0
530000,0,6,1350,1,5,3,13,0
255000,0,3,813,2,3,2,13,0
260000,0,3,870,2,3,2,13,0
750000,0,6,1810,2,4,3,13,0
190000,0,3,900,2,4,1,14,0
450000,0,6,1450,1,4,3,13,0
265000,0,6,1100,2,3,2,9,0
610000,0,6,2800,1,4,3,13,1
685000,0,6,2050,2,5,3,13,0
720000,0,9,1196,1,3,2,14,0
538000,1,9,1346,2,4,3,13,1
155000,0,3,800,1,3,2,13,0
430000,0,9,1062,1,3,2,13,0
639000,0,6,1746,2,4,3,11,0
265000,0,3,850,2,3,2,13,0
638000,0,4,1138,1,3,2,13,0
555000,0,9,900,1,3,2,10,0
1000000,0,9,1420,1,3,2,13,0
490000,0,6,1170,1,4,3,13,0
395000,0,9,1294,0,4,2,13,0
510000,0,3,1206,1,3,2,14,0
980000,0,6,2100,1,4,3,13,0
690000,0,9,1325,0,3,2,14,0
80000,1,3,550,2,2,1,13,0
520000,0,6,1400,2,4,2,11,0
438000,0,9,1205,2,4,2,13,0
519900,0,9,1279,0,3,3,14,0
528000,0,9,1326,1,3,2,14,1
610000,0,6,2050,1,4,3,13,1
1050000,0,9,800,0,3,2,3,1
670000,0,6,1600,1,4,3,13,0
740000,0,12,4400,2,5,4,13,0
238000,0,3,650,1,3,2,14,0
340000,0,9,1008,1,3,2,13,0
399000,0,6,1000,1,3,2,14,0
165000,0,9,517,2,2,1,10,0
950000,0,6,1900,2,4,3,12,0
470000,0,6,1170,1,4,3,11,0
1400000,0,9,1200,0,2,2,14,0
510000,0,9,1272,1,4,2,14,0
370000,1,6,1000,2,4,2,13,0
306000,0,6,886,2,2,2,13,0
740000,0,6,1760,2,3,2,13,0
338000,0,6,2141,2,5,3,8,0
329800,0,9,689,2,2,2,14,0
300000,0,6,1400,1,4,3,13,0
480000,0,6,1800,1,3,3,14,0
300000,1,6,1500,2,4,3,8,0
450000,0,5,775,0,2,2,13,0
658000,0,6,1400,1,4,3,14,0
600000,0,9,947,0,3,2,14,0
830000,0,9,1227,0,3,2,14,0
350000,0,9,1001,1,3,2,14,0
1050000,0,9,1450,0,3,2,10,1
448634,0,2,1283,2,4,2,13,0
650000,0,9,1315,1,3,2,9,1
708000,0,10,2600,1,4,3,9,0
1230000,0,4,1200,0,3,2,14,0
530000,0,9,1165,1,3,3,14,0
930000,1,9,1500,0,3,3,10,0
600000,0,6,2215,1,4,3,13,0
680000,0,6,1247,2,4,3,13,0
380000,0,9,877,1,3,2,13,0
525000,0,9,1200,2,3,2,14,0
1050000,0,9,1450,0,3,2,10,1
255000,0,4,950,2,3,2,13,1
1099000,0,6,2056,1,4,3,13,0
570000,0,6,1500,1,4,3,13,0
778800,0,4,708,0,2,2,14,0
1050000,0,6,2500,1,4,3,13,0
545000,0,6,1800,1,4,4,13,0
290000,0,3,915,1,3,2,14,0
100000,0,3,650,2,3,2,13,0
1750000,0,6,1600,1,4,3,14,0
500000,0,6,1800,1,3,3,13,0
620000,0,6,2116,2,4,3,13,0
585000,0,6,1575,1,4,3,13,0
359000,1,6,2000,2,4,3,13,0
830000,0,9,643,0,2,2,14,0
405000,0,9,1097,1,3,2,14,0
639000,0,9,1600,1,4,2,14,0
455000,1,9,943,0,3,2,14,0
619999,0,9,1196,1,3,2,14,0
450000,0,9,1007,1,3,2,13,0
955000,0,9,1569,1,2,3,13,0
890000,0,6,2100,1,4,4,13,0
655900,0,9,1059,1,3,2,14,0
575000,0,10,1800,1,5,3,13,0
485000,0,6,1400,1,4,3,13,0
500000,0,9,1016,2,3,3,13,0
740000,0,9,1168,2,3,3,14,0
330000,0,3,971,2,3,2,13,0
200000,0,9,850,1,3,2,13,0
1250000,0,12,3500,1,4,4,13,0
600000,1,8,3000,2,5,4,13,0
265000,0,6,1540,2,4,2,3,0
288000,0,3,818,0,3,2,13,0
1270000,0,9,1733,1,4,4,14,0
650000,0,9,1394,1,3,2,14,0
630000,0,2,2530,1,5,3,13,0
185000,1,3,650,2,3,2,14,0
250000,0,3,850,2,3,2,13,0
625000,0,7,1300,0,3,3,13,0
550000,0,6,1700,2,4,4,9,0
800000,0,6,1526,2,4,3,13,0
499000,0,9,1267,0,3,3,14,0
235000,0,3,750,2,3,2,13,0
610000,0,9,1196,1,3,2,14,0
268000,0,3,872,2,4,2,13,1
540000,0,6,2000,1,4,3,13,0
310000,0,3,911,2,3,2,10,0
450000,0,6,1100,2,4,3,13,0
245000,0,9,816,1,3,2,13,0
500000,0,6,1900,2,4,2,13,0
927000,0,9,2699,2,3,2,3,0
698000,0,9,1100,2,3,2,10,0
590000,0,6,1976,1,4,4,13,0
210000,0,3,910,2,3,2,13,0
550000,0,9,836,1,2,2,13,0
190000,0,3,650,2,3,2,14,1
1100000,0,9,917,1,3,2,14,0
638000,0,9,947,0,3,2,13,0
