Price,Built_Up,Furnishing,Tenure,carpark,classification
650000,1496,0,0,1,1
450000,678,1,0,1,1
381000,928,2,0,1,1
1300000,1998,1,0,1,1
250000,689,2,0,0,1
2000000,1968,1,0,1,1
550000,985,1,0,1,1
480000,1303,0,1,1,1
540000,1130,0,0,1,1
600000,1948,2,0,2,1
600000,1331,2,0,1,0
1000000,1960,1,0,2,1
360000,1080,2,0,2,1
469000,1650,1,0,2,1
410000,1101,1,0,1,1
650000,1260,2,0,2,1
310000,936,0,0,1,1
1500000,3900,1,0,2,1
600000,1800,2,0,2,1
670000,1210,1,0,2,1
489000,1276,0,0,1,1
670000,1600,2,0,2,1
570000,1545,1,0,2,1
500000,1900,1,0,2,1
360000,900,2,0,2,1
499000,1100,0,0,1,1
1500000,2200,1,0,2,1
375000,960,2,0,1,1
485000,832,1,0,1,1
310000,900,1,0,1,0
420000,1124,2,0,1,1
850000,1540,1,0,2,1
285000,1100,2,1,2,1
250000,645,1,0,1,1
450000,1600,2,0,2,1
270000,710,2,0,1,1
930000,1500,0,1,1,1
1380000,2700,1,0,2,1
245000,850,1,1,1,1
370000,1021,1,0,1,1
650000,1700,2,0,2,1
528000,1300,1,0,2,1
1700000,7000,0,0,2,1
670000,953,1,0,1,1
395000,1530,1,0,2,1
660000,800,0,0,1,1
1300000,2000,1,0,2,1
170000,550,2,0,1,1
620000,1300,1,0,1,1
493000,1161,1,0,1,1
299000,630,2,0,2,1
350000,930,2,1,1,1
570000,1087,0,0,1,1
780000,1988,2,0,2,0
250000,1100,0,0,1,1
530000,1300,0,0,2,1
440000,969,0,0,1,1
370000,865,2,1,1,1
680000,2400,2,1,2,1
590000,743,0,0,1,1
396000,868,1,1,1,1
620000,2000,1,0,2,1
1050000,1450,0,0,1,0
699000,1558,2,0,1,1
1080000,1650,2,0,2,0
630000,2116,1,0,2,1
1000000,1333,0,0,1,1
360000,1100,1,0,2,1
1198000,2940,1,0,2,1
400000,1000,2,0,1,1
520000,1000,1,0,1,1
1134000,2357,2,0,1,1
450000,1230,2,0,2,1
790000,1045,2,0,1,1
235000,680,1,0,1,1
347000,830,1,0,1,1
135000,750,2,0,1,1
800000,1345,2,0,1,1
765000,1102,1,0,1,1
1200000,2800,0,0,1,1
401000,1225,2,0,2,0
1800000,1614,0,0,1,1
555000,1900,2,0,2,1
570000,1400,2,0,2,1
300000,960,2,0,1,0
750000,3164,1,0,0,1
1150000,2600,1,0,2,1
1600000,1442,0,0,1,1
630000,1855,2,0,2,1
228000,800,2,0,1,1
385000,880,2,0,2,1
460000,770,2,0,2,1
175000,1540,2,1,2,1
440000,1463,2,0,2,1
1950000,2347,0,0,1,1
378000,956,1,0,1,1
1280000,1582,0,0,1,1
480000,1100,0,0,1,1
1300000,2691,2,0,2,1
485000,1914,1,0,2,1
230000,1440,2,1,2,1
739000,1800,1,0,2,1
385000,1280,1,0,1,1
420000,1430,1,0,2,1
326000,1500,2,0,2,1
400000,1200,2,0,2,1
380000,870,2,1,1,1
950000,1129,0,0,1,1
675000,1430,1,0,2,1
400000,830,1,0,1,1
1990000,2022,0,0,1,1
174000,680,0,0,1,1
220000,850,2,1,1,1
310000,800,2,0,2,1
395000,840,1,0,2,1
1130000,1300,0,0,2,0
690000,1173,1,0,1,1
255000,925,1,0,1,1
325000,786,2,0,1,1
1550000,1635,0,0,1,1
350000,930,2,1,1,1
72000,269,0,0,1,1
315000,950,1,0,1,1
522000,732,1,0,1,0
595000,1800,1,0,2,1
525000,1320,1,0,1,1
950000,1680,2,0,2,1
350000,732,0,0,1,0
500000,1387,1,0,2,1
370000,723,1,0,1,1
970000,2560,1,0,2,1
480000,1200,2,1,2,1
530000,1350,1,0,2,1
255000,813,2,0,1,1
260000,870,2,0,1,1
750000,1810,2,0,2,1
190000,900,2,0,1,1
450000,1450,1,0,2,1
265000,1100,2,0,2,1
610000,2800,1,0,2,0
685000,2050,2,0,2,1
720000,1196,1,0,1,1
538000,1346,2,1,1,0
155000,800,1,0,1,1
430000,1062,1,0,1,1
639000,1746,2,0,2,1
265000,850,2,0,1,1
638000,1138,1,0,1,1
555000,900,1,0,1,1
1000000,1420,1,0,1,1
490000,1170,1,0,2,1
395000,1294,0,0,1,1
510000,1206,1,0,1,1
980000,2100,1,0,2,1
690000,1325,0,0,1,1
80000,550,2,1,1,1
520000,1400,2,0,2,1
438000,1205,2,0,1,1
519900,1279,0,0,1,1
528000,1326,1,0,1,0
610000,2050,1,0,2,0
1050000,800,0,0,1,0
670000,1600,1,0,2,1
740000,4400,2,0,2,1
238000,650,1,0,1,1
